influencedBy/0/values,influencedBy/1/values,influencedBy/2/values,influencedBy/3/values,influencedBy/4/values,influencedBy/5/values,influencedBy/6/values,influencedBy/7/values,genre/0/values,genre/1/values,genre/2/values,influenced/0/values,influenced/1/values,influenced/2/values,influenced/3/values,normnationality,vid,birthDate/0/values,normbirthdate,normname,URI,normdes,genre/3/values,influencedBy/8/values,genre/4/values,genre/5/values,genre/6/values,genre/7/values,genre/8/values,influencedBy/9/values,influencedBy/10/values,influencedBy/11/values,influencedBy/12/values,influencedBy/13/values,influencedBy/14/values,birthDate/1/values,influencedBy/15/values,influencedBy/16/values,influencedBy/17/values,influenced/4/values,influenced/5/values,influenced/6/values,influenced/7/values,influenced/8/values,influenced/9/values,influenced/10/values,influenced/11/values,influenced/12/values,influencedBy/18/values,influencedBy/19/values,influencedBy/20/values,influencedBy/21/values,influencedBy/22/values,influencedBy/23/values,influencedBy/24/values,influencedBy/25/values,influencedBy/26/values,influenced/13/values,influenced/14/values,influenced/15/values,influenced/16/values,influenced/17/values,genre/9/values,genre/10/values,genre/11/values,genre/12/values,influencedBy/27/values,influencedBy/28/values,influencedBy/29/values,influencedBy/30/values,influencedBy/31/values,influenced/18/values,influenced/19/values,influenced/20/values,influenced/21/values,influenced/22/values,influenced/23/values,influenced/24/values,influenced/25/values,influenced/26/values,influenced/27/values,influenced/28/values,influenced/29/values,influenced/30/values,influenced/31/values,genre/13/values,genre/14/values,genre/15/values,influenced/32/values,influenced/33/values,influenced/34/values,influenced/35/values,influenced/36/values,influenced/37/values,influenced/38/values,genre/16/values,genre/17/values,genre/18/values,genre/19/values,genre/20/values,genre/21/values,genre/22/values,genre/23/values,genre/24/values,genre/25/values
,,,,,,,,http://dbpedia.org/resource/Chick_lit,http://dbpedia.org/resource/Young-adult_fiction,,,,,,United States,65876640,1974-01-01,1974-01-01,,http://dbpedia.org/resource/Ally_Carter,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"literary fiction, drama",,,,,,,American,84065060,1945-08-09,1945-08-09,Barbara Delinsky,http://dbpedia.org/resource/Barbara_Delinsky,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_fiction,http://dbpedia.org/resource/Young-adult_fiction,,,,,,American,85314052,1935-06-08,1935-06-08,Carolyn Meyer,http://dbpedia.org/resource/Carolyn_Meyer,American chidlren's writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_fiction,http://dbpedia.org/resource/Young-adult_fiction,,,,,,American,85314052,1935-06-08,1935-06-08,Carolyn Meyer,http://dbpedia.org/resource/Carolyn_Meyer,American chidlren's writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Short_story,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fiction,,,,,,26466367,,,Charlie Jane Anders,http://dbpedia.org/resource/Charlie_Jane_Anders,American science-fiction writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/Don_DeLillo,http://dbpedia.org/resource/Michael_Ondaatje,http://dbpedia.org/resource/Jack_Kerouac,http://dbpedia.org/resource/Edna_O'Brien,http://dbpedia.org/resource/John_Berger,http://dbpedia.org/resource/Benedict_Kiely,http://dbpedia.org/resource/James_Joyce,http://dbpedia.org/resource/E._L._Doctorow,http://dbpedia.org/resource/Literary_fiction,,,,,,,http://dbpedia.org/resource/Americans,87201568,1965-02-28,1965-02-28,Colum McCann,http://dbpedia.org/resource/Colum_McCann,Irish novelist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Fantasy,http://dbpedia.org/resource/Science_fiction,,,,,,http://dbpedia.org/resource/United_States,14127299,,,Elenora Rose Sabin,http://dbpedia.org/resource/E._Rose_Sabin,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Memoir,http://dbpedia.org/resource/Mystery_fiction,http://dbpedia.org/resource/True_crime,,,,,,56757907,1939-03-16,1939-03-16,Edna Buchanan,http://dbpedia.org/resource/Edna_Buchanan,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nonfiction,http://dbpedia.org/resource/Historical_romance,,,,,,http://dbpedia.org/resource/United_States,14993786,1962,1962,Mary Bly,http://dbpedia.org/resource/Eloisa_James,American academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Young-adult_fiction,,,,,,,http://dbpedia.org/resource/England,67613895,1973,1973,Frances Hardinge,http://dbpedia.org/resource/Frances_Hardinge,British children's writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
