influencedBy/0/values,influencedBy/1/values,influencedBy/2/values,influencedBy/3/values,influencedBy/4/values,influencedBy/5/values,influencedBy/6/values,influencedBy/7/values,genre/0/values,genre/1/values,genre/2/values,influenced/0/values,influenced/1/values,influenced/2/values,influenced/3/values,normnationality,vid,birthDate/0/values,normbirthdate,name/0/values,name/1/values,normname,URI,description/0/values,normdes,nationality/0/values,name/2/values,genre/3/values,nationality/1/values,influencedBy/8/values,genre/4/values,genre/5/values,genre/6/values,genre/7/values,genre/8/values,influencedBy/9/values,influencedBy/10/values,influencedBy/11/values,influencedBy/12/values,influencedBy/13/values,influencedBy/14/values,description/1/values,birthDate/1/values,influencedBy/15/values,influencedBy/16/values,influencedBy/17/values,influenced/4/values,influenced/5/values,influenced/6/values,influenced/7/values,influenced/8/values,influenced/9/values,influenced/10/values,influenced/11/values,influenced/12/values,influencedBy/18/values,influencedBy/19/values,influencedBy/20/values,influencedBy/21/values,influencedBy/22/values,influencedBy/23/values,influencedBy/24/values,influencedBy/25/values,influencedBy/26/values,influenced/13/values,influenced/14/values,influenced/15/values,influenced/16/values,influenced/17/values,name/3/values,name/4/values,genre/9/values,genre/10/values,genre/11/values,genre/12/values,influencedBy/27/values,influencedBy/28/values,influencedBy/29/values,influencedBy/30/values,influencedBy/31/values,influenced/18/values,influenced/19/values,influenced/20/values,influenced/21/values,influenced/22/values,influenced/23/values,influenced/24/values,influenced/25/values,influenced/26/values,influenced/27/values,influenced/28/values,influenced/29/values,influenced/30/values,influenced/31/values,genre/13/values,genre/14/values,genre/15/values,influenced/32/values,influenced/33/values,influenced/34/values,influenced/35/values,influenced/36/values,influenced/37/values,influenced/38/values,genre/16/values,genre/17/values,genre/18/values,genre/19/values,genre/20/values,genre/21/values,genre/22/values,genre/23/values,genre/24/values,genre/25/values,name/5/values,name/6/values,name/7/values,name/8/values,name/9/values,name/10/values
,,,,,,,,http://dbpedia.org/resource/Non-fiction,,,,,,,http://dbpedia.org/resource/United_States,2391998,1962-07-01,1962-07-01,"Dolan, Richard M.",Richard M. Dolan,Richard M. Dolan,http://dbpedia.org/resource/Richard_M._Dolan,American author and television personality,American author and television personality,http://dbpedia.org/resource/United_States,,,,,,,,,,,,,,,,Americanauthor andtelevision personality,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Science fiction, fantasy",,,,,,,American,27627288,1946-06-28,1946-06-28,"Asprin, Robert",Robert Asprin,Robert Asprin,http://dbpedia.org/resource/Robert_Asprin,"Novelist, short story writer, editor","Novelist, short story writer, editor",American,Robert Lynn Asprin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Non-fiction, biography, theology",,,,,,,Scottish,50413973,1831-06-24,1831-06-24,Robert Wallace,"Wallace, Robert",Robert Wallace,http://dbpedia.org/resource/Robert_Wallace_(Edinburgh_MP),Scottish politician,Scottish politician,Scottish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Crime_fiction,,,,,,,Italian,37095877,1964-11-04,1964-11-04,Sandrone Dazieri,"Dazieri, Sandrone",Sandrone Dazieri,http://dbpedia.org/resource/Sandrone_Dazieri,popular Italian crime writer,popular Italian crime writer,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/Agatha_Christie,http://dbpedia.org/resource/Arthur_Conan_Doyle,http://dbpedia.org/resource/Ibn-e-Safi,,,,,,http://dbpedia.org/resource/Crime_fiction,,,,,,,,182170499,1940-02-19,1940-02-19,Surender Mohan Pathak,"Pathak, Surender Mohan",Surender Mohan Pathak,http://dbpedia.org/resource/Surender_Mohan_Pathak,Indian writer,Indian writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Science_fiction,,,,,,,United States,189883918,1851,1851,William R. Bradshaw,"Bradshaw, William Richard",William R. Bradshaw,http://dbpedia.org/resource/William_R._Bradshaw,American writer,American writer,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Paranormal_fiction,http://dbpedia.org/resource/Urban_fantasy,,,,,,American,37152089,,,"Galenorn, Yasmine",Yasmine Galenorn,Yasmine Galenorn,http://dbpedia.org/resource/Yasmine_Galenorn,American writer,American writer,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Drama, speculative fiction, science fiction, horror fiction",,,,,,,American,113154147,1924-12-25,1924-12-25,"Serling, Rod",,,http://dbpedia.org/resource/Rod_Serling,American screenwriter,American screenwriter,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/Brian_Lumley,http://dbpedia.org/resource/Clive_Barker,http://dbpedia.org/resource/H._P._Lovecraft,http://dbpedia.org/resource/Harlan_Ellison,http://dbpedia.org/resource/Stephen_King,http://dbpedia.org/resource/Thomas_F._Monteleone,http://dbpedia.org/resource/Rick_Hautala,http://dbpedia.org/resource/Charles_L._Grant,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fantasy,,,,,American,232942645,1965-09-03,1965-09-03,James A. Moore,"Moore, James A.",James A. Moore,http://dbpedia.org/resource/James_A._Moore,American writer,American writer,American,,,,http://dbpedia.org/resource/F._Paul_Wilson,,,,,,http://dbpedia.org/resource/Joe_R._Lansdale,http://dbpedia.org/resource/Ira_Levin,http://dbpedia.org/resource/Peter_Straub,http://dbpedia.org/resource/Robert_R._McCammon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/Brian_Lumley,http://dbpedia.org/resource/Clive_Barker,http://dbpedia.org/resource/H._P._Lovecraft,http://dbpedia.org/resource/Harlan_Ellison,http://dbpedia.org/resource/Stephen_King,http://dbpedia.org/resource/Thomas_F._Monteleone,http://dbpedia.org/resource/Rick_Hautala,http://dbpedia.org/resource/Charles_L._Grant,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fantasy,,,,,American,232942645,1965-09-03,1965-09-03,James A. Moore,"Moore, James A.",James A. Moore,http://dbpedia.org/resource/James_A._Moore,American writer,American writer,American,,,,http://dbpedia.org/resource/F._Paul_Wilson,,,,,,http://dbpedia.org/resource/Joe_R._Lansdale,http://dbpedia.org/resource/Ira_Levin,http://dbpedia.org/resource/Peter_Straub,http://dbpedia.org/resource/Robert_R._McCammon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/George_Bacovia,http://dbpedia.org/resource/Lucian_Blaga,,,,,,,http://dbpedia.org/resource/Lyric_poetry,http://dbpedia.org/resource/Free_verse,http://dbpedia.org/resource/Travel_literature,http://dbpedia.org/resource/Petre_Stoica_(writer),,,,Romanian,22594111,1925-06-16,1925-06-16,Anatol E. Baconsky,"Baconsky, Anatol",Anatol E. Baconsky,http://dbpedia.org/resource/Anatol_E._Baconsky,Romanian writer,Romanian writer,Romanian,,http://dbpedia.org/resource/Journalism,,,http://dbpedia.org/resource/Utopian_and_dystopian_fiction,http://dbpedia.org/resource/Sonnet,http://dbpedia.org/resource/Satire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Retro_Futurism,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Cyberpunk,,,,,French,170268742,1982-01-10,1982-01-10,Bastien Lecouffe-Deharme,"Lecouffe Deharme, Bastien",Bastien Lecouffe-Deharme,http://dbpedia.org/resource/Bastien_Lecouffe-Deharme,"French illustrator, photographer & science fiction author","French illustrator, photographer & science fiction author",French,,http://dbpedia.org/resource/Dark_fantasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_fiction,http://dbpedia.org/resource/Philosophy,http://dbpedia.org/resource/Memoir,,,,,http://dbpedia.org/resource/United_Kingdom,13630660,1938-08-21,1938-08-21,Charles Gidley Wheeler,"Wheeler, Charles Gidley",Charles Gidley Wheeler,http://dbpedia.org/resource/Charles_Gidley_Wheeler,TV screenwriter and novelist,TV screenwriter and novelist,http://dbpedia.org/resource/United_Kingdom,,http://dbpedia.org/resource/Dramatic_programming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,fiction,,,,,,,Italian,22272708,1955,1955,Giorgio van Straten,"van Straten, Giorgio",Giorgio van Straten,http://dbpedia.org/resource/Giorgio_van_Straten,Italian novelist & librettist,Italian novelist & librettist,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Fiction, Non-fiction",,,,,,,American,24637871,1957-11-17,1957-11-17,Guy Smith,"Smith, Guy",Guy Smith,http://dbpedia.org/resource/Guy_Smith_(writer),"Writer, songwriter","Writer, songwriter",American,Just Pluckin' Around,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Detective_fiction,http://dbpedia.org/resource/Children's_literature,,,,,,http://dbpedia.org/resource/Sweden,34969445,1931-10-20,1931-10-20,Jan-Olof Ekholm,"Ekholm, Jan-Olof",Jan-Olof Ekholm,http://dbpedia.org/resource/Jan-Olof_Ekholm,Swedish writer,Swedish writer,http://dbpedia.org/resource/Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Mystery_fiction,,,,,,,American,57713887,1952-07-14,1952-07-14,"Lindsay, Jeff",Jeff Lindsay,Jeff Lindsay,http://dbpedia.org/resource/Jeff_Lindsay_(writer),American writer,American writer,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Mystery_fiction,http://dbpedia.org/resource/Light_novel,,,,,,,117817538,1981,1981,Nisio Isin,"Nisio, Ishin",Nisio Isin,http://dbpedia.org/resource/Nisio_Isin,Japanese novelist,Japanese novelist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_fiction,http://dbpedia.org/resource/Fantasy,,,,,,,16247212,1935-11-08,1935-11-08,Persia Woolley,"Woolley, Persia",Persia Woolley,http://dbpedia.org/resource/Persia_Woolley,American writer,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/Paul_Zindel,,,,,,,,"Young-adult fiction, horror, mystery",,,,,,,American,5729749,1934-04-10,1934-04-10,"Peck, Richard",Richard Peck,Richard Peck,http://dbpedia.org/resource/Richard_Peck_(writer),American children's writer,American children's writer,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Literary fiction, Short Stories",,,,,,,British,14993032,1967-07-07,1967-07-07,Ruth Thomas,"Thomas, Ruth",Ruth Thomas,http://dbpedia.org/resource/Ruth_Thomas_(novelist),Writer,Writer,British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/Dorothy_Parker,http://dbpedia.org/resource/John_Steinbeck,http://dbpedia.org/resource/Robert_Benchley,,,,,,http://dbpedia.org/resource/Western_fiction,,,http://dbpedia.org/resource/Thomas_McGuane,http://dbpedia.org/resource/Annie_Proulx,,,American,118858080,1915-04-25,1915-04-25,"Savage, Thomas",Thomas Savage,Thomas Savage,http://dbpedia.org/resource/Thomas_Savage_(novelist),American writer,American writer,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Crime_fiction,,,,,,,Dual French and English,29544646,1946,1946,Timothy Williams,"Guadeloupe, 1972",Timothy Williams,http://dbpedia.org/resource/Timothy_Williams_(author),English writer,English writer,Dual French and English,"Williams, Timothy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Children's_literature,http://dbpedia.org/resource/Speculative_fiction,http://dbpedia.org/resource/Young-adult_fiction,,,,,Australian,21633680,1959,1959,"Parry, Glyn",Glyn Parry,Glyn Parry,http://dbpedia.org/resource/Glyn_Parry_(author),Australian writer,Australian writer,Australian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Children's_literature,http://dbpedia.org/resource/Speculative_fiction,http://dbpedia.org/resource/Young-adult_fiction,,,,,Australian,21633680,1959,1959,"Parry, Glyn",Glyn Parry,Glyn Parry,http://dbpedia.org/resource/Glyn_Parry_(author),Australian writer,Australian writer,Australian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Non-fiction,,,,,,,British,93693327,1952,1952,Hugh McManners,"McManners, Hugh",Hugh McManners,http://dbpedia.org/resource/Hugh_McManners,British television presenter,British television presenter,British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Non-fiction,,,,,,,American,50116959,1959-11-15,1959-11-15,Robert Draper,"Draper, Robert",Robert Draper,http://dbpedia.org/resource/Robert_Draper,American journalist,American journalist,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Science_fiction,,,,,,,Italian,6839049,1962,1962,Roberto Quaglia,"Quaglia, Roberto",Roberto Quaglia,http://dbpedia.org/resource/Roberto_Quaglia,Italian writer,Italian writer,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Women's_fiction,http://dbpedia.org/resource/Adolescence,http://dbpedia.org/resource/Children's_literature,,,,,,79553313,,,"Sones, Sonya",Sonya Sones,Sonya Sones,http://dbpedia.org/resource/Sonya_Sones,American writer,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/Andrew_Nelson_Lytle,http://dbpedia.org/resource/Edmund_Burke,http://dbpedia.org/resource/Allen_Tate,,,,,,http://dbpedia.org/resource/Non-fiction,,,,,,,,39461813,1934-05-08,1934-05-08,"Bradford, Mel",Mel Bradford,Mel Bradford,http://dbpedia.org/resource/Mel_Bradford,American politician,American politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fantasy,,,,,,102695338,1979-08-10,1979-08-10,Ted J. Geoghegan,"Geoghegan, Ted",Ted J. Geoghegan,http://dbpedia.org/resource/Ted_Geoghegan,American writer,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fantasy,,,,,,102695338,1979-08-10,1979-08-10,Ted J. Geoghegan,"Geoghegan, Ted",Ted J. Geoghegan,http://dbpedia.org/resource/Ted_Geoghegan,American writer,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Comedy,http://dbpedia.org/resource/Drama,,,,,http://dbpedia.org/resource/Egyptians,100513459,1962,1962,Ahmed Khaled Tawfik,أحمد خالد توفيق,Ahmed Khaled Tawfik,http://dbpedia.org/resource/Ahmed_Khaled_Tawfik,Egyptian writer,Egyptian writer,http://dbpedia.org/resource/Egyptians,"Tawfik, Ahmed Khaled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Drama,http://dbpedia.org/resource/Science_fiction,,,,,,,12511713,1935-11-27,1935-11-27,"Byrne, Johnny",Johnny Byrne,Johnny Byrne,http://dbpedia.org/resource/Johnny_Byrne_(writer),"Irish television writer, screenwriter, script editor, writer and poet","Irish television writer, screenwriter, script editor, writer and poet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"non-fiction, journalism, poetry",,,,,,,,48965762,1976-09-26,1976-09-26,"Douglas, Orville Lloyd",Orville Lloyd Douglas,Orville Lloyd Douglas,http://dbpedia.org/resource/Orville_Lloyd_Douglas,Canadian writer,Canadian writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Children's books, young adult fiction",,,,,,,,38070501,1947-09-23,1947-09-23,"Crew, Gary",Gary Crew,Gary Crew,http://dbpedia.org/resource/Gary_Crew,Contemporary Australian children's writer and academic,Contemporary Australian children's writer and academic,,,,,,,,,,,,,,,,,ContemporaryAustralianchildren's writer and academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_fiction,http://dbpedia.org/resource/American_frontier,,http://dbpedia.org/resource/Larry_McMurtry,http://dbpedia.org/resource/Joe_Orlando,,,American,61760078,1895-03-31,1895-03-31,Vardis Fisher,"Fisher, Vardis",Vardis Fisher,http://dbpedia.org/resource/Vardis_Fisher,"Novelist, essayist","Novelist, essayist",American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Poetry, short stories, non-fiction, and biography",,,,,,,American,24445652,1927-12-08,1927-12-08,Clysle Julius  Stevens,"Stevens, C. J.",Clysle Julius  Stevens,http://dbpedia.org/resource/C._J._Stevens,American poet,American poet,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_fiction,,,,,,,http://dbpedia.org/resource/United_Kingdom,7387603,1927-12-18,1927-12-18,Jacqueline Orgell Briskin,"Briskin, Jacqueline",Jacqueline Orgell Briskin,http://dbpedia.org/resource/Jacqueline_Briskin,British-American writer,British-American writer,http://dbpedia.org/resource/United_Kingdom,,,http://dbpedia.org/resource/United_States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Speculative_fiction,http://dbpedia.org/resource/Horror_fiction,,,,,,Australian,121126341,,,Kaaron Warren,"Warren, Kaaron",Kaaron Warren,http://dbpedia.org/resource/Kaaron_Warren,Australian writer,Australian writer,Australian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Speculative_fiction,http://dbpedia.org/resource/Horror_fiction,,,,,,Australian,121126341,,,Kaaron Warren,"Warren, Kaaron",Kaaron Warren,http://dbpedia.org/resource/Kaaron_Warren,Australian writer,Australian writer,Australian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Tartan_Noir,http://dbpedia.org/resource/Crime_fiction,,,,,,,6046185,,,"Anderson, Lin",Lin  Anderson,Lin  Anderson,http://dbpedia.org/resource/Lin_Anderson,crime novelist and screenwriter,crime novelist and screenwriter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Fantasy,http://dbpedia.org/resource/Horror_fiction,,,,,,United States,26276635,1946-02-02,1946-02-02,Adam Niswander,"Niswander, Adam",Adam Niswander,http://dbpedia.org/resource/Adam_Niswander,American writer,American writer,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,fictional prose,,,,,,,,46790891,1891-03-31,1891-03-31,Esther Kreitman,"Kreitman, Esther",Esther Kreitman,http://dbpedia.org/resource/Esther_Kreitman,Polish writer,Polish writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Travel,http://dbpedia.org/resource/Non-fiction,http://dbpedia.org/resource/Autobiography,,,,,,87785224,1947-07-08,1947-07-08,"Diski, Jenny",Jenny Diski,Jenny Diski,http://dbpedia.org/resource/Jenny_Diski,British writer,British writer,,,http://dbpedia.org/resource/Fiction,,,http://dbpedia.org/resource/Screenplay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Thrillers, horror, historical fiction",,,,,,,British,103625740,1923-06-26,1923-06-26,John Blackburn,"Blackburn, John",John Blackburn,http://dbpedia.org/resource/John_Blackburn_(author),British writer,British writer,British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Essays, poetry, magazine articles, non-fiction",,,,,,,American,62874169,1949-10-14,1949-10-14,Katha Pollitt,"Pollitt, Katha",Katha Pollitt,http://dbpedia.org/resource/Katha_Pollitt,American journalist,American journalist,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Non-fiction history and technology,,,,,,,,48047987,1931-08-10,1931-08-10,L. J. K. Setright,"Setright, L. J. K.",L. J. K. Setright,http://dbpedia.org/resource/L._J._K._Setright,British motoring journalist,British motoring journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
